fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/04/06,4.039773,6.1,2.0,105.935964,100.0,100.0
2020/04/07,4.257377,7.0,1.2,103.814183,100.0,100.0
2020/04/08,4.146939,5.7,1.2,121.318196,100.0,100.0
2020/04/09,4.049383,6.7,2.1,103.664505,100.0,100.0
2020/04/10,2.168462,4.2,1.0,126.21685,100.0,100.0
2020/04/11,0.775,1.0,0.6,52.859825,100.0,100.0
2020/04/12,1.690909,3.7,0.8,164.720225,100.0,100.0
2020/04/13,1.59375,3.7,0.1,314.014378,100.0,100.0
2020/04/14,2.6,2.6,2.6,247.0,100.0,100.0
2020/04/15,2.992308,4.6,1.9,350.025728,100.0,100.0
2020/04/16,1.411111,2.4,0.9,55.633851,100.0,100.0
2020/04/17,2.338265,4.1,1.0,97.949942,98.6,95.8
2020/04/18,2.089412,3.7,0.6,123.495105,100.0,100.0
2020/04/19,2.825455,5.6,0.9,171.419076,100.0,100.0
2020/04/20,2.804,4.7,0.4,170.492343,100.0,100.0
2020/04/21,1.552632,3.0,0.5,358.39524,100.0,100.0
2020/04/22,2.386822,4.1,0.5,91.263093,100.0,100.0
2020/04/23,2.255102,4.8,0.8,98.236609,100.0,100.0
2020/04/24,1.832632,3.7,0.5,95.1821,100.0,100.0
2020/04/25,0.4,0.4,0.4,212.0,100.0,100.0
2020/04/26,2.758333,4.8,0.6,169.400638,100.0,100.0
2020/04/27,3.608943,5.3,1.6,118.788332,100.0,100.0
2020/04/28,1.457143,2.4,0.9,162.592858,100.0,100.0
2020/04/29,1.510227,3.6,0.5,126.407452,100.0,100.0
2020/04/30,2.038938,3.8,0.6,126.058039,100.0,100.0
2020/05/01,3.826563,5.9,2.0,99.034806,100.0,100.0
2020/05/02,3.483562,5.5,1.2,100.162742,100.0,100.0
2020/05/03,2.763393,4.1,0.9,104.23768,100.0,100.0
2020/05/04,2.553623,4.6,0.9,99.268249,100.0,100.0
2020/05/05,1.52,3.4,1.0,169.476148,100.0,100.0
2020/05/06,3.306723,5.8,1.1,119.723253,100.0,100.0
2020/05/07,4.47234,6.8,2.7,120.54138,100.0,100.0
